Pack_Number,Pack_Title,Difficulty_Act,Chinese_Base_Words,Chinese_Example_Words,Chinese_Combined_Words
31,Common Foods,Act III: Expansion,"[豆腐,土豆,西红柿,白菜,萝卜,黄瓜,茄子,辣椒,葱,姜,蒜,苹果,香蕉,橘子,葡萄,西瓜]","[豆腐嫩,吃豆腐,土豆丝,炒土豆,西红柿红,炒西红柿,白菜好,炒白菜,萝卜甜,炖萝卜,黄瓜脆,拍黄瓜,茄子紫,烧茄子,辣椒辣,炒辣椒,切葱,放葱,切姜,放姜,切蒜,放蒜,苹果甜,吃苹果,香蕉甜,吃香蕉,橘子酸,吃橘子,葡萄甜,吃葡萄,西瓜甜,吃西瓜]","[豆腐,土豆,西红柿,白菜,萝卜,黄瓜,茄子,辣椒,葱,姜,蒜,苹果,香蕉,橘子,葡萄,西瓜,豆腐嫩,吃豆腐,土豆丝,炒土豆,西红柿红,炒西红柿,白菜好,炒白菜,萝卜甜,炖萝卜,黄瓜脆,拍黄瓜,茄子紫,烧茄子,辣椒辣,炒辣椒,切葱,放葱,切姜,放姜,切蒜,放蒜,苹果甜,吃苹果,香蕉甜,吃香蕉,橘子酸,吃橘子,葡萄甜,吃葡萄,西瓜甜,吃西瓜]"
32,Eating & Drinking,Act III: Expansion,"[饿,饱,渴,尝,好吃,难吃,甜,酸,辣,咸,苦,淡,香,臭,点餐,用餐,加菜,下单]","[饿了,很饿,饱了,吃饱,渴了,很渴,尝尝,尝一下,好吃的,很好吃,难吃的,很难吃,甜的,很甜,酸的,很酸,辣的,很辣,咸的,很咸,苦的,很苦,淡的,很淡,香的,很香,臭的,很臭,点餐吧,去点餐,用餐愉快,开始用餐,加菜吧,我要加菜,下单吧,我要下单]","[饿,饱,渴,尝,好吃,难吃,甜,酸,辣,咸,苦,淡,香,臭,点餐,用餐,加菜,下单,饿了,很饿,饱了,吃饱,渴了,很渴,尝尝,尝一下,好吃的,很好吃,难吃的,很难吃,甜的,很甜,酸的,很酸,辣的,很辣,咸的,很咸,苦的,很苦,淡的,很淡,香的,很香,臭的,很臭,点餐吧,去点餐,用餐愉快,开始用餐,加菜吧,我要加菜,下单吧,我要下单]"
33,Clothing Items,Act III: Expansion,"[衣服,裤子,裙子,鞋子,袜子,帽子,外套,大衣,衬衫,毛衣,内衣,手套,围巾,领带,眼镜,包]","[洗衣服,穿衣服,洗裤子,穿裤子,洗裙子,穿裙子,洗鞋子,穿鞋子,洗袜子,穿袜子,戴帽子,买帽子,穿外套,买外套,穿大衣,买大衣,穿衬衫,买衬衫,穿毛衣,买毛衣,穿内衣,买内衣,戴手套,买手套,戴围巾,买围巾,打领带,买领带,戴眼镜,买眼镜,背包,买包]","[衣服,裤子,裙子,鞋子,袜子,帽子,外套,大衣,衬衫,毛衣,内衣,手套,围巾,领带,眼镜,包,洗衣服,穿衣服,洗裤子,穿裤子,洗裙子,穿裙子,洗鞋子,穿鞋子,洗袜子,穿袜子,戴帽子,买帽子,穿外套,买外套,穿大衣,买大衣,穿衬衫,买衬衫,穿毛衣,买毛衣,穿内衣,买内衣,戴手套,买手套,戴围巾,买围巾,打领带,买领带,戴眼镜,买眼镜,背包,买包]"
34,Weather Words,Act III: Expansion,"[天气,晴天,阴天,多云,下雨,下雪,刮风,打雷,闪电,大雾,温度,预报,气温,霜,雹子,潮湿]","[天气好,看天气,晴天好,是晴天,阴天冷,是阴天,多云天,今天多云,下雨了,快下雨,下雪了,快下雪,刮风了,在刮风,打雷了,听到打雷,闪电亮,看到闪电,大雾天,起大雾,温度高,看温度,天气预报,看预报,气温低,看气温,结霜了,下霜,下雹子,有雹子,很潮湿,天气潮湿]","[天气,晴天,阴天,多云,下雨,下雪,刮风,打雷,闪电,大雾,温度,预报,气温,霜,雹子,潮湿,天气好,看天气,晴天好,是晴天,阴天冷,是阴天,多云天,今天多云,下雨了,快下雨,下雪了,快下雪,刮风了,在刮风,打雷了,听到打雷,闪电亮,看到闪电,大雾天,起大雾,温度高,看温度,天气预报,看预报,气温低,看气温,结霜了,下霜,下雹子,有雹子,很潮湿,天气潮湿]"
35,Shopping Basics,Act III: Expansion,"[店,商场,便宜,贵,打折,退货,换货,挑选,试穿,小票,促销,特价,砍价,标价,选购]","[这家店,去店里,去商场,在商场,便宜点,很便宜,太贵了,很贵,打折了,有打折,退货吧,可以退货,换货吧,可以换货,挑选好,慢慢挑选,试穿下,可以试穿,拿小票,给小票,促销中,搞促销,特价品,有特价,砍价吧,可以砍价,标价多少,看标价,选购好,慢慢选购]","[店,商场,便宜,贵,打折,退货,换货,挑选,试穿,小票,促销,特价,砍价,标价,选购,这家店,去店里,去商场,在商场,便宜点,很便宜,太贵了,很贵,打折了,有打折,退货吧,可以退货,换货吧,可以换货,挑选好,慢慢挑选,试穿下,可以试穿,拿小票,给小票,促销中,搞促销,特价品,有特价,砍价吧,可以砍价,标价多少,看标价,选购好,慢慢选购]"
36,Around the House,Act III: Expansion,"[房子,房间,门,窗户,墙,地板,天花板,客厅,卧室,厨房,卫生间,浴室,阳台,楼梯,电梯,花园,车库]","[大房子,买房子,小房间,进房间,开门,关门,开窗户,关窗户,白墙,刷墙,木地板,擦地板,天花板高,看天花板,大客厅,在客厅,大卧室,在卧室,小厨房,在厨房,去卫生间,在卫生间,去浴室,在浴室,小阳台,在阳台,爬楼梯,走楼梯,坐电梯,等电梯,小花园,在花园,大车库,在车库]","[房子,房间,门,窗户,墙,地板,天花板,客厅,卧室,厨房,卫生间,浴室,阳台,楼梯,电梯,花园,车库,大房子,买房子,小房间,进房间,开门,关门,开窗户,关窗户,白墙,刷墙,木地板,擦地板,天花板高,看天花板,大客厅,在客厅,大卧室,在卧室,小厨房,在厨房,去卫生间,在卫生间,去浴室,在浴室,小阳台,在阳台,爬楼梯,走楼梯,坐电梯,等电梯,小花园,在花园,大车库,在车库]"
37,Furniture & Objects,Act III: Expansion,"[桌子,椅子,床,沙发,柜子,书架,灯,电视,冰箱,空调,洗衣机,电脑,钥匙,纸,窗帘,地毯]","[大桌子,擦桌子,小椅子,坐椅子,大床,睡床,软沙发,坐沙发,大柜子,开柜子,书架满,放书架,开灯,关灯,看电视,开电视,开冰箱,大冰箱,开空调,关空调,用洗衣机,开洗衣机,用电脑,开电脑,拿钥匙,找钥匙,一张纸,拿纸,拉窗帘,开窗帘,软地毯,铺地毯]","[桌子,椅子,床,沙发,柜子,书架,灯,电视,冰箱,空调,洗衣机,电脑,钥匙,纸,窗帘,地毯,大桌子,擦桌子,小椅子,坐椅子,大床,睡床,软沙发,坐沙发,大柜子,开柜子,书架满,放书架,开灯,关灯,看电视,开电视,开冰箱,大冰箱,开空调,关空调,用洗衣机,开洗衣机,用电脑,开电脑,拿钥匙,找钥匙,一张纸,拿纸,拉窗帘,开窗帘,软地毯,铺地毯]"
38,Describing People,Act III: Expansion,"[漂亮,帅,可爱,丑,年轻,老,聪明,笨,勤快,懒,诚实,善良,能干,友好,勇敢,自私,大方]","[很漂亮,干得漂亮,帅哥,很帅气,好可爱,可爱极了,真丑,出丑,年轻人,年轻时候,老人家,变老了,聪明人,聪明才智,笨蛋,笨手笨脚,手脚勤快,很勤快,偷懒,真懒,诚实守信,为人诚实,心地善良,善良的人,精明能干,很能干,友好相处,友好往来,勇敢面对,勇敢的人,自私自利,太自私,大方得体,出手大方]","[漂亮,帅,可爱,丑,年轻,老,聪明,笨,勤快,懒,诚实,善良,能干,友好,勇敢,自私,大方,很漂亮,干得漂亮,帅哥,很帅气,好可爱,可爱极了,真丑,出丑,年轻人,年轻时候,老人家,变老了,聪明人,聪明才智,笨蛋,笨手笨脚,手脚勤快,很勤快,偷懒,真懒,诚实守信,为人诚实,心地善良,善良的人,精明能干,很能干,友好相处,友好往来,勇敢面对,勇敢的人,自私自利,太自私,大方得体,出手大方]"
39,Emotions & Feelings,Act III: Expansion,"[高兴,开心,难过,伤心,生气,害怕,担心,紧张,放松,累,无聊,有趣,惊讶,兴奋,满意,失望,着急,舒服]","[高兴起来,高兴得很,开心果,玩得开心,心里难过,很难过,伤心事,别伤心,生气了,别生气,害怕什么,很害怕,担心你,不用担心,紧张死了,别紧张,放松心情,放松一下,累死了,太累了,无聊透顶,太无聊,有趣的事,很有趣,感到惊讶,十分惊讶,兴奋不已,兴奋得很,很满意,满意的,太失望,感到失望,别着急,着急什么,舒服极了,不舒服]","[高兴,开心,难过,伤心,生气,害怕,担心,紧张,放松,累,无聊,有趣,惊讶,兴奋,满意,失望,着急,舒服,高兴起来,高兴得很,开心果,玩得开心,心里难过,很难过,伤心事,别伤心,生气了,别生气,害怕什么,很害怕,担心你,不用担心,紧张死了,别紧张,放松心情,放松一下,累死了,太累了,无聊透顶,太无聊,有趣的事,很有趣,感到惊讶,十分惊讶,兴奋不已,兴奋得很,很满意,满意的,太失望,感到失望,别着急,着急什么,舒服极了,不舒服]"
40,Health & Sickness,Act III: Expansion,"[健康,生病,感冒,发烧,咳嗽,头疼,肚子疼,受伤,流血,康复,痊愈,复诊,住院,出院,养病]","[身体健康,很健康,生病了,容易生病,感冒了,得感冒,发烧了,在发烧,咳嗽了,一直咳嗽,头疼啊,有点头疼,肚子疼啊,有点肚子疼,受伤了,不小心受伤,流血了,在流血,快康复,已康复,快痊愈,已痊愈,去复诊,需要复诊,住院了,要住院,出院了,可以出院,养病中,好好养病]","[健康,生病,感冒,发烧,咳嗽,头疼,肚子疼,受伤,流血,康复,痊愈,复诊,住院,出院,养病,身体健康,很健康,生病了,容易生病,感冒了,得感冒,发烧了,在发烧,咳嗽了,一直咳嗽,头疼啊,有点头疼,肚子疼啊,有点肚子疼,受伤了,不小心受伤,流血了,在流血,快康复,已康复,快痊愈,已痊愈,去复诊,需要复诊,住院了,要住院,出院了,可以出院,养病中,好好养病]"
41,School Life,Act III: Expansion,"[老师,学生,同学,教室,课,上课,下课,作业,考试,成绩,毕业,书,本子,笔,书包,操场,校园]","[好老师,我老师,好学生,我是学生,好同学,我同学,大教室,在教室,这节课,上这课,上课了,正在上课,下课了,准备下课,写作业,交作业,考试了,准备考试,成绩好,看成绩,毕业了,快毕业,看书,读书,写本子,拿本子,用笔,拿笔,背书包,拿书包,去操场,在操场,美校园,在校园]","[老师,学生,同学,教室,课,上课,下课,作业,考试,成绩,毕业,书,本子,笔,书包,操场,校园,好老师,我老师,好学生,我是学生,好同学,我同学,大教室,在教室,这节课,上这课,上课了,正在上课,下课了,准备下课,写作业,交作业,考试了,准备考试,成绩好,看成绩,毕业了,快毕业,看书,读书,写本子,拿本子,用笔,拿笔,背书包,拿书包,去操场,在操场,美校园,在校园]"
42,Work & Office,Act III: Expansion,"[同事,老板,员工,会议,工资,加班,请假,休假,打卡,出差,开会,汇报,项目,报销,绩效,考核]","[好同事,我同事,大老板,我老板,好员工,新员工,开会议,参加会议,发工资,涨工资,要加班,在加班,请假条,要请假,休假了,去休假,打卡机,去打卡,出差了,要出差,开会中,准备开会,做汇报,听汇报,新项目,做项目,去报销,要报销,看绩效,提绩效,做考核,参加考核]","[同事,老板,员工,会议,工资,加班,请假,休假,打卡,出差,开会,汇报,项目,报销,绩效,考核,好同事,我同事,大老板,我老板,好员工,新员工,开会议,参加会议,发工资,涨工资,要加班,在加班,请假条,要请假,休假了,去休假,打卡机,去打卡,出差了,要出差,开会中,准备开会,做汇报,听汇报,新项目,做项目,去报销,要报销,看绩效,提绩效,做考核,参加考核]"
43,Communication Verbs,Act III: Expansion,"[讲,读,写,聊天,讨论,翻译,理解,表达,交流,沟通,倾听,询问,答复,辩论,商量,回应,回复]","[讲话,讲故事,读书,读报,写字,写信,聊天吧,在聊天,讨论会,来讨论,翻译成,做翻译,理解了,不理解,表达好,会表达,交流会,去交流,沟通好,来沟通,倾听者,认真倾听,询问下,去询问,答复你,给答复,辩论会,来辩论,商量下,来商量,回应你,给回应,回复你,给回复]","[讲,读,写,聊天,讨论,翻译,理解,表达,交流,沟通,倾听,询问,答复,辩论,商量,回应,回复,讲话,讲故事,读书,读报,写字,写信,聊天吧,在聊天,讨论会,来讨论,翻译成,做翻译,理解了,不理解,表达好,会表达,交流会,去交流,沟通好,来沟通,倾听者,认真倾听,询问下,去询问,答复你,给答复,辩论会,来辩论,商量下,来商量,回应你,给回应,回复你,给回复]"
44,Phone & Internet,Act III: Expansion,"[电话,手机,号码,上网,网络,网站,微信,短信,视频,照片,搜索,下载,密码,账号,充电]","[打电话,接电话,用手机,买手机,电话号码,记号码,上网吧,在上网,网络快,连网络,上网站,看网站,用微信,发微信,发短信,收短信,看视频,录视频,拍照片,看照片,搜索下,在搜索,下载好,去下载,输密码,忘密码,登账号,建账号,去充电,在充电]","[电话,手机,号码,上网,网络,网站,微信,短信,视频,照片,搜索,下载,密码,账号,充电,打电话,接电话,用手机,买手机,电话号码,记号码,上网吧,在上网,网络快,连网络,上网站,看网站,用微信,发微信,发短信,收短信,看视频,录视频,拍照片,看照片,搜索下,在搜索,下载好,去下载,输密码,忘密码,登账号,建账号,去充电,在充电]"
45,Getting Around,Act III: Expansion,"[跑,进,出,回,转,停,经过,路过,赶,追,躲,绕,穿,返回,抵达,启程,途经]","[跑步,快跑,进来,进去,出来,出去,回来,回去,转身,转弯,停下,停住,经过这,刚经过,路过这,刚路过,赶时间,赶快,追上,追赶,躲开,躲避,绕路,绕过,穿过,穿越,返回去,要返回,抵达了,刚抵达,启程了,准备启程,途经这,刚途经]","[跑,进,出,回,转,停,经过,路过,赶,追,躲,绕,穿,返回,抵达,启程,途经,跑步,快跑,进来,进去,出来,出去,回来,回去,转身,转弯,停下,停住,经过这,刚经过,路过这,刚路过,赶时间,赶快,追上,追赶,躲开,躲避,绕路,绕过,穿过,穿越,返回去,要返回,抵达了,刚抵达,启程了,准备启程,途经这,刚途经]"
46,Daily Routines,Act III: Expansion,"[醒,洗漱,早餐,午餐,晚餐,打扫,做饭,熬夜,散步,娱乐,午睡,叫醒,梳洗,通勤,待业,活动]","[醒了,睡醒,洗漱完,去洗漱,吃早餐,做早餐,吃午餐,做午餐,吃晚餐,做晚餐,打扫房,在打扫,做饭吧,去做饭,熬夜了,别熬夜,散步去,去散步,娱乐下,找娱乐,午睡吧,要午睡,叫醒我,被叫醒,梳洗好,去梳洗,通勤中,每天通勤,待业中,还在待业,活动多,做活动]","[醒,洗漱,早餐,午餐,晚餐,打扫,做饭,熬夜,散步,娱乐,午睡,叫醒,梳洗,通勤,待业,活动,醒了,睡醒,洗漱完,去洗漱,吃早餐,做早餐,吃午餐,做午餐,吃晚餐,做晚餐,打扫房,在打扫,做饭吧,去做饭,熬夜了,别熬夜,散步去,去散步,娱乐下,找娱乐,午睡吧,要午睡,叫醒我,被叫醒,梳洗好,去梳洗,通勤中,每天通勤,待业中,还在待业,活动多,做活动]"
47,Hobbies & Leisure,Act III: Expansion,"[爱好,阅读,看书,电影,音乐,旅游,摄影,画画,唱歌,跳舞,爬山,钓鱼,购物,游戏,下棋,烹饪,园艺]","[我的爱好,有爱好,爱阅读,喜欢阅读,爱看书,喜欢看书,看电影,好电影,听音乐,好音乐,去旅游,爱旅游,学摄影,爱摄影,学画画,爱画画,去唱歌,爱唱歌,去跳舞,爱跳舞,去爬山,爱爬山,去钓鱼,爱钓鱼,去购物,爱购物,玩游戏,打游戏,下棋吧,爱下棋,学烹饪,爱烹饪,做园艺,爱园艺]","[爱好,阅读,看书,电影,音乐,旅游,摄影,画画,唱歌,跳舞,爬山,钓鱼,购物,游戏,下棋,烹饪,园艺,我的爱好,有爱好,爱阅读,喜欢阅读,爱看书,喜欢看书,看电影,好电影,听音乐,好音乐,去旅游,爱旅游,学摄影,爱摄影,学画画,爱画画,去唱歌,爱唱歌,去跳舞,爱跳舞,去爬山,爱爬山,去钓鱼,爱钓鱼,去购物,爱购物,玩游戏,打游戏,下棋吧,爱下棋,学烹饪,爱烹饪,做园艺,爱园艺]"
48,Sports & Exercise,Act III: Expansion,"[运动,跑步,游泳,打球,篮球,足球,乒乓球,网球,羽毛球,健身,瑜伽,太极,比赛,赢,输,锻炼,体育]","[做运动,爱运动,去跑步,爱跑步,去游泳,爱游泳,去打球,爱打球,打篮球,爱篮球,踢足球,爱足球,打乒乓球,爱乒乓球,打网球,爱网球,打羽毛球,爱羽毛球,去健身,爱健身,练瑜伽,爱瑜伽,打太极,练太极,看比赛,参加比赛,赢了,要赢,输了,不输,去锻炼,爱锻炼,体育课,爱体育]","[运动,跑步,游泳,打球,篮球,足球,乒乓球,网球,羽毛球,健身,瑜伽,太极,比赛,赢,输,锻炼,体育,做运动,爱运动,去跑步,爱跑步,去游泳,爱游泳,去打球,爱打球,打篮球,爱篮球,踢足球,爱足球,打乒乓球,爱乒乓球,打网球,爱网球,打羽毛球,爱羽毛球,去健身,爱健身,练瑜伽,爱瑜伽,打太极,练太极,看比赛,参加比赛,赢了,要赢,输了,不输,去锻炼,爱锻炼,体育课,爱体育]"
49,Nature & Environment,Act III: Expansion,"[天空,太阳,月亮,星星,云,山,河,湖,海,树,花,草,石头,森林,空气,环境,自然,植物]","[看天空,蓝天空,太阳出来了,晒太阳,月亮圆,看月亮,星星亮,数星星,白云,看云,大山,爬山,大河,过河,大湖,游湖,大海,看海,大树,种树,红花,看花,绿草,割草,大石头,搬石头,大森林,进森林,空气好,呼吸空气,环境好,保护环境,大自然,爱自然,绿植物,种植物]","[天空,太阳,月亮,星星,云,山,河,湖,海,树,花,草,石头,森林,空气,环境,自然,植物,看天空,蓝天空,太阳出来了,晒太阳,月亮圆,看月亮,星星亮,数星星,白云,看云,大山,爬山,大河,过河,大湖,游湖,大海,看海,大树,种树,红花,看花,绿草,割草,大石头,搬石头,大森林,进森林,空气好,呼吸空气,环境好,保护环境,大自然,爱自然,绿植物,种植物]"
50,Animals,Act III: Expansion,"[动物,狗,猫,鸟,鱼,鸡,鸭,猪,牛,羊,马,兔子,老虎,狮子,熊,大象,猴子,蛇,海豚]","[野生动物,保护动物,遛狗,狗叫了,猫咪,这只猫,鸟飞了,听鸟叫,钓鱼,鱼缸,公鸡打鸣,母鸡下蛋,烤鸭,鸭子游泳,野猪,喂猪,水牛,吹牛,山羊,放羊,骑马,赛马,白兔子,兔子跳,属老虎,老虎凶,狮子吼,狮子王,黑熊,北极熊,非洲大象,大象鼻子,猴子聪明,猴子爬树,毒蛇,怕蛇,海豚表演,海豚聪明]","[动物,狗,猫,鸟,鱼,鸡,鸭,猪,牛,羊,马,兔子,老虎,狮子,熊,大象,猴子,蛇,海豚,野生动物,保护动物,遛狗,狗叫了,猫咪,这只猫,鸟飞了,听鸟叫,钓鱼,鱼缸,公鸡打鸣,母鸡下蛋,烤鸭,鸭子游泳,野猪,喂猪,水牛,吹牛,山羊,放羊,骑马,赛马,白兔子,兔子跳,属老虎,老虎凶,狮子吼,狮子王,黑熊,北极熊,非洲大象,大象鼻子,猴子聪明,猴子爬树,毒蛇,怕蛇,海豚表演,海豚聪明]"
51,Numbers & Math,Act III: Expansion,"[加,减,乘,除,等于,第一,第二,第三,总共,倍,一半,算,数学,余,差,积,商]","[加法,加上,减法,减去,乘法,乘以,除法,除以,等于多少,不等于,第一名,得第一,第二名,得第二,第三名,得第三,总共多少,一共总共,两倍,三倍,一半的,分一半,算一下,算出来,学数学,教数学,余数,剩余,差多少,相差,积是,乘积,商是,求商]","[加,减,乘,除,等于,第一,第二,第三,总共,倍,一半,算,数学,余,差,积,商,加法,加上,减法,减去,乘法,乘以,除法,除以,等于多少,不等于,第一名,得第一,第二名,得第二,第三名,得第三,总共多少,一共总共,两倍,三倍,一半的,分一半,算一下,算出来,学数学,教数学,余数,剩余,差多少,相差,积是,乘积,商是,求商]"
52,Time Words Advanced,Act III: Expansion,"[白天,夜晚,凌晨,黎明,傍晚,黄昏,平时,永远,最近,将来,始终,日后,往后,今后,当初,先前,此后]","[白天工作,在白天,夜晚休息,在夜晚,凌晨起,到凌晨,黎明时分,等黎明,傍晚时,到傍晚,黄昏时,看黄昏,平时忙,在平时,永远爱你,会永远,最近忙,在最近,将来会,在将来,始终如一,会始终,日后再说,等日后,往后看,从往后,今后会,从今后,当初说,在当初,先前说,在先前,此后会,从此后]","[白天,夜晚,凌晨,黎明,傍晚,黄昏,平时,永远,最近,将来,始终,日后,往后,今后,当初,先前,此后,白天工作,在白天,夜晚休息,在夜晚,凌晨起,到凌晨,黎明时分,等黎明,傍晚时,到傍晚,黄昏时,看黄昏,平时忙,在平时,永远爱你,会永远,最近忙,在最近,将来会,在将来,始终如一,会始终,日后再说,等日后,往后看,从往后,今后会,从今后,当初说,在当初,先前说,在先前,此后会,从此后]"
53,Location Words,Act III: Expansion,"[中,内,外,上,下,左,右,前,后,旁,周围,到处,各地,本地,东边,南边,西边,北边,上边,下边]","[中间,其中,内部,在内,外部,在外,上面,在上,下面,在下,左边,向左,右边,向右,前面,在前,后面,在后,旁边,在旁,周围的,在周围,到处走,到处看,各地的,来自各地,本地人,在本地,东边走,在东边,南边走,在南边,西边走,在西边,北边走,在北边,上边看,在上边,下边看,在下边]","[中,内,外,上,下,左,右,前,后,旁,周围,到处,各地,本地,东边,南边,西边,北边,上边,下边,中间,其中,内部,在内,外部,在外,上面,在上,下面,在下,左边,向左,右边,向右,前面,在前,后面,在后,旁边,在旁,周围的,在周围,到处走,到处看,各地的,来自各地,本地人,在本地,东边走,在东边,南边走,在南边,西边走,在西边,北边走,在北边,上边看,在上边,下边看,在下边]"
54,Opinions & Views,Act IV: Mastery,"[看法,意见,观点,态度,立场,主意,角度,总结,看待,论点,见解,立论,论据,持有,坚持,表示,鉴定]","[我的看法,有看法,提意见,有意见,观点是,有观点,态度好,表态度,立场坚定,有立场,好主意,出主意,角度不同,换角度,做总结,来总结,看待问题,如何看待,论点是,提论点,有见解,独到见解,立论清晰,进行立论,论据充分,找论据,持有观点,长期持有,坚持下去,要坚持,表示同意,表示反对,做鉴定,专业鉴定]","[看法,意见,观点,态度,立场,主意,角度,总结,看待,论点,见解,立论,论据,持有,坚持,表示,鉴定,我的看法,有看法,提意见,有意见,观点是,有观点,态度好,表态度,立场坚定,有立场,好主意,出主意,角度不同,换角度,做总结,来总结,看待问题,如何看待,论点是,提论点,有见解,独到见解,立论清晰,进行立论,论据充分,找论据,持有观点,长期持有,坚持下去,要坚持,表示同意,表示反对,做鉴定,专业鉴定]"
55,Making Plans,Act IV: Mastery,"[打算,计划,准备,决定,安排,预定,取消,推迟,提前,空闲,有空,见面,约定,约会,排期,档期,行程]","[打算去,有打算,计划好,做计划,准备好,做准备,决定了,做决定,安排好,做安排,预定好,去预定,取消了,要取消,推迟了,要推迟,提前到,要提前,有空闲,比较空闲,有空吗,没有空,见面吧,去见面,约定好,有约定,约会吧,去约会,排期表,做排期,有档期,看档期,行程表,安排行程]","[打算,计划,准备,决定,安排,预定,取消,推迟,提前,空闲,有空,见面,约定,约会,排期,档期,行程,打算去,有打算,计划好,做计划,准备好,做准备,决定了,做决定,安排好,做安排,预定好,去预定,取消了,要取消,推迟了,要推迟,提前到,要提前,有空闲,比较空闲,有空吗,没有空,见面吧,去见面,约定好,有约定,约会吧,去约会,排期表,做排期,有档期,看档期,行程表,安排行程]"
56,Expressing Needs,Act IV: Mastery,"[需要,想要,希望,愿望,盼望,期待,渴望,要求,不必,不用,急需,务必,非得,亟需,迫切,紧迫]","[需要你,很需要,想要买,很想要,希望你,抱希望,愿望是,许愿望,盼望着,在盼望,期待你,很期待,渴望成功,很渴望,要求高,有要求,不必了,真不必,不用谢,不用担心,急需人,很急需,务必来,请务必,非得去,非得要,亟需解决,亟需帮助,很迫切,迫切需要,很紧迫,时间紧迫]","[需要,想要,希望,愿望,盼望,期待,渴望,要求,不必,不用,急需,务必,非得,亟需,迫切,紧迫,需要你,很需要,想要买,很想要,希望你,抱希望,愿望是,许愿望,盼望着,在盼望,期待你,很期待,渴望成功,很渴望,要求高,有要求,不必了,真不必,不用谢,不用担心,急需人,很急需,务必来,请务必,非得去,非得要,亟需解决,亟需帮助,很迫切,迫切需要,很紧迫,时间紧迫]"
57,Asking for Help,Act IV: Mastery,"[帮助,拜托,请教,请求,支援,协助,乐意,求援,相助,襄助,劳驾,有劳,费心,指点]","[帮助我,需要帮助,拜托你,拜托了,请教下,向您请教,请求你,有请求,支援我,需要支援,协助下,需要协助,很乐意,乐意帮忙,求援信,发出求援,相助一下,鼎力相助,襄助一下,大力襄助,劳驾了,劳驾您,有劳您,有劳了,费心了,多费心,指点下,请指点]","[帮助,拜托,请教,请求,支援,协助,乐意,求援,相助,襄助,劳驾,有劳,费心,指点,帮助我,需要帮助,拜托你,拜托了,请教下,向您请教,请求你,有请求,支援我,需要支援,协助下,需要协助,很乐意,乐意帮忙,求援信,发出求援,相助一下,鼎力相助,襄助一下,大力襄助,劳驾了,劳驾您,有劳您,有劳了,费心了,多费心,指点下,请指点]"
58,Giving Directions,Act IV: Mastery,"[直走,左转,右转,拐弯,路口,十字路口,红绿灯,前方,右侧,左侧,距离,方向,地址,目的地,导航,地图]","[往前直走,请直走,向左左转,请左转,向右右转,请右转,在那拐弯,要拐弯,到路口,过路口,到十字路口,过十字路口,看红绿灯,等红绿灯,前方到达,看前方,在右侧,看右侧,在左侧,看左侧,距离远,有距离,什么方向,看方向,地址是,写地址,到目的地,去目的地,开导航,用导航,看地图,用地图]","[直走,左转,右转,拐弯,路口,十字路口,红绿灯,前方,右侧,左侧,距离,方向,地址,目的地,导航,地图,往前直走,请直走,向左左转,请左转,向右右转,请右转,在那拐弯,要拐弯,到路口,过路口,到十字路口,过十字路口,看红绿灯,等红绿灯,前方到达,看前方,在右侧,看右侧,在左侧,看左侧,距离远,有距离,什么方向,看方向,地址是,写地址,到目的地,去目的地,开导航,用导航,看地图,用地图]"
59,Describing Situations,Act IV: Mastery,"[情况,状况,形势,正常,异常,简单,进行,发生,出现,存在,变化,改变,转变,恶化]","[什么情况,了解情况,状况如何,目前状况,形势好,看形势,很正常,一切正常,很异常,有点异常,很简单,太简单,进行中,正在进行,发生了,刚发生,出现了,刚出现,存在问题,还存在,有变化,发生变化,改变了,要改变,转变了,有转变,恶化了,情况恶化]","[情况,状况,形势,正常,异常,简单,进行,发生,出现,存在,变化,改变,转变,恶化,什么情况,了解情况,状况如何,目前状况,形势好,看形势,很正常,一切正常,很异常,有点异常,很简单,太简单,进行中,正在进行,发生了,刚发生,出现了,刚出现,存在问题,还存在,有变化,发生变化,改变了,要改变,转变了,有转变,恶化了,情况恶化]"
60,Talking About Problems,Act IV: Mastery,"[问题,麻烦,毛病,错误,修理,改正,症结,难点,弊端,纠纷,争议,隐患,漏洞,纰漏,瓶颈]","[有问题,什么问题,有麻烦,遇到麻烦,有毛病,出毛病,有错误,犯错误,去修理,需要修理,要改正,已改正,找症结,问题症结,有难点,克服难点,有弊端,存在弊端,有纠纷,发生纠纷,有争议,引起争议,有隐患,存在隐患,有漏洞,堵住漏洞,有纰漏,出现纰漏,有瓶颈,突破瓶颈]","[问题,麻烦,毛病,错误,修理,改正,症结,难点,弊端,纠纷,争议,隐患,漏洞,纰漏,瓶颈,有问题,什么问题,有麻烦,遇到麻烦,有毛病,出毛病,有错误,犯错误,去修理,需要修理,要改正,已改正,找症结,问题症结,有难点,克服难点,有弊端,存在弊端,有纠纷,发生纠纷,有争议,引起争议,有隐患,存在隐患,有漏洞,堵住漏洞,有纰漏,出现纰漏,有瓶颈,突破瓶颈]"
